anio,mes,smg_nominal,smg_real,smgr_indice
1969,1,0.0242,208.71,280.42
1969,2,0.0242,207.97,279.42
1969,3,0.0242,207.76,279.14
1969,4,0.0242,207.2,278.39
1969,5,0.0242,207.2,278.39
1969,6,0.0242,206.46,277.4
1969,7,0.0242,205.68,276.35
1969,8,0.0242,205.46,276.05
1969,9,0.0242,203.55,273.48
1969,10,0.0242,201.43,270.64
1969,11,0.0242,201.41,270.61
1969,12,0.0242,199.9,268.59
1970,1,0.0279,228.73,307.32
1970,2,0.0279,228.76,307.36
1970,3,0.0279,228.09,306.45
1970,4,0.0279,227.8,306.06
1970,5,0.0279,227.32,305.41
1970,6,0.0279,225.94,303.57
1970,7,0.0279,224.84,302.09
1970,8,0.0279,223.81,300.7
1970,9,0.0279,223.27,299.98
1970,10,0.0279,223.19,299.87
1970,11,0.0279,221.99,298.26
1970,12,0.0279,220.13,295.77
1971,1,0.0279,217.99,292.88
1971,2,0.0279,217.09,291.67
1971,3,0.0279,216.26,290.57
1971,4,0.0279,215.16,289.09
1971,5,0.0279,214.71,288.48
1971,6,0.0279,213.74,287.18
1971,7,0.0279,213.91,287.4
1971,8,0.0279,211.97,284.8
1971,9,0.0279,211.28,283.87
1971,10,0.0279,211.08,283.59
1971,11,0.0279,210.73,283.13
1971,12,0.0279,209.73,281.79
1972,1,0.0332,248.47,333.84
1972,2,0.0332,247.7,332.81
1972,3,0.0332,246.36,331.0
1972,4,0.0332,244.82,328.93
1972,5,0.0332,244.33,328.27
1972,6,0.0332,242.53,325.86
1972,7,0.0332,241.62,324.64
1972,8,0.0332,240.04,322.51
1972,9,0.0332,238.95,321.05
1972,10,0.0332,238.78,320.82
1972,11,0.0332,237.24,318.74
1972,12,0.0332,236.44,317.67
1973,1,0.0332,233.05,313.12
1973,2,0.0332,231.14,310.56
1973,3,0.0332,229.13,307.85
1973,4,0.0332,225.56,303.05
1973,5,0.0332,223.18,299.86
1973,6,0.0332,221.37,297.42
1973,7,0.0332,215.83,289.99
1973,8,0.0332,212.42,285.41
1973,9,0.0392,244.99,329.16
1973,10,0.0392,241.88,324.99
1973,11,0.0392,238.94,321.04
1973,12,0.0392,230.01,309.03
1974,1,0.045,254.92,342.5
1974,2,0.045,249.28,334.93
1974,3,0.045,247.38,332.37
1974,4,0.045,244.06,327.92
1974,5,0.045,242.16,325.36
1974,6,0.045,239.79,322.17
1974,7,0.045,236.37,317.58
1974,8,0.045,233.9,314.27
1974,9,0.045,231.28,310.74
1974,10,0.0552,278.19,373.76
1974,11,0.0552,270.67,363.66
1974,12,0.0552,268.57,360.84
1975,1,0.0552,265.18,356.29
1975,2,0.0552,263.73,354.34
1975,3,0.0552,262.07,352.12
1975,4,0.0552,259.88,349.17
1975,5,0.0552,256.45,344.56
1975,6,0.0552,252.16,338.8
1975,7,0.0552,250.16,336.11
1975,8,0.0552,248.01,333.22
1975,9,0.0552,246.22,330.81
1975,10,0.0552,244.97,329.13
1975,11,0.0552,243.26,326.84
1975,12,0.0552,241.29,324.19
1976,1,0.0673,288.61,387.77
